Donateur_ID,Naam,Contactgegevens,Bloedgroep
3348a89a-ac30-4074-b5f2-1f091eba6e86,Melissa Owens,thompsonmary@yahoo.com,AB-
ad4c72b8-6563-478a-95c1-2ebde536e1d9,John Myers,warnerkyle@acosta.net,A+
d22cc06f-02f2-4603-af13-d4aaf74398a2,David Velazquez,brianhill@king.com,B+
e823372f-fc11-4bdf-813e-440d079f7e87,Larry Payne,stevensonadam@murphy.org,O+
13c5a7a2-648f-48c2-a376-a6cf8c96b6d3,Daryl Myers,lisa59@gmail.com,B+
74b00d7d-ce82-41f5-bebc-4a7080e73a19,Brittney Bush,aprilstark@moore-zimmerman.com,A-
43f2a0d9-2499-46bb-b875-c53440edcbfa,Erin Young,zmiller@harrell.com,B-
287b3d57-de90-4ae0-b098-2560f60d69dc,Lisa Brown,atkinsondaniel@hotmail.com,B-
0db68312-554d-4e98-920a-5b36dcefc544,James Hoffman,cassidy15@munoz.com,B-
5b3d88e7-51a6-4147-95b0-9c80a094bb1d,Victoria Wang,grahambrenda@lee-riley.com,AB-
1c824cd1-43b2-4ec2-8694-7c863413dd28,Marc Hodge,hwilliams@gmail.com,O-
d89a9ca1-8746-490c-a172-416c864ee6ff,Kim Holloway,colejesse@peterson.biz,A-
b49ee51b-417f-4304-81da-2156ec09adf7,Peter Carter,nelsonjustin@ruiz.com,A-
fcc2db26-a3c3-4dfe-826a-d8e3e93348db,Daniel Schwartz,shanehawkins@good-salazar.com,AB+
1a9b8476-b3db-47ef-ab81-3377ba50edea,Harold Wong,hughessierra@campos.info,A+
00719cc6-006a-433d-9d21-376068f50775,Kyle Cooper,turnermary@hotmail.com,B-
afec636d-b5c4-4152-a1d1-4b093a04444c,Brittany Osborne,michael90@santos-jones.com,B+
c402b129-e9ef-47cb-994f-da35b91182a3,Joshua Tucker,cummingsveronica@garcia.net,AB+
b7d3511d-be0e-4835-95de-173bbfb5c29d,Julie Myers,wongcatherine@king-fernandez.com,AB+
967d5ac7-b4e9-415a-95cb-34f1916a4582,Ronnie White,vmiller@gmail.com,AB-
cc6dca69-fce1-4517-82a1-ae1c01fe32d9,Paige Simmons,veronicahale@bell.com,O-
93837512-6433-44f2-936d-bb3e64823b69,Paul Alvarez,jeffery79@yahoo.com,O+
27fcbe16-ea3e-4f5b-8876-3b20cb36487b,Teresa Harris,phelpstina@griffin.net,B-
63d64536-bad4-48bb-a59f-d12ab2828b61,Robert Garcia,robert45@roberts.com,A+
139415d4-5b8e-48e7-aadf-1df0ecfa17f6,Thomas Bradley,leonardnicholas@marshall.com,O+
d306174e-073e-428b-b5a8-d3513ccb7530,Jay Boone,craig93@hotmail.com,B-
b8a5e477-49fe-4e5f-9cff-be13f1d1ebd2,James Young,dean59@hansen-lewis.com,A+
af820e39-daaa-44fc-8f97-e843f74ea6f6,Amy Jones,ljenkins@perez-miller.info,A-
ae47246f-ec5f-4211-a15d-b7d70a421f6e,Amy Davis,christopher28@yahoo.com,A-
